id,n_numbers,range,std,count_small,count_large,count_duplicates,count_even,count_odd,count_div_2,count_div_3,count_div_5,count_div_7,count_primes,distance_simple,distance_max,distance_avg,easy_pairs,log_target,expr_depth,count_add,count_sub,count_mul,count_div,noncomm_ops,numbers,target,solution
13,3,70,38.7986254052039,0,1,0,0,3,0,0,1,0,2,38,6,50.666666666666664,0,1.9777236052888478,2,1,1,0,0,1,"[19, 25, 89]",95,((25 - 19) + 89)
14,3,54,27.392213005402343,1,1,0,2,1,2,0,0,0,1,86,35,10.666666666666664,1,1.4313637641589874,2,1,1,0,0,1,"[8, 62, 43]",27,((8 + 62) - 43)
15,4,83,40.425858061394315,1,2,0,3,1,3,0,2,0,1,137,38,3.25,1,1.6989700043360187,3,0,2,1,0,2,"[74, 5, 20, 88]",50,((5 * (88 - 74)) - 20)
16,4,44,19.259196937221102,2,0,0,1,3,1,2,1,1,0,51,27,0.75,5,1.255272505103306,3,1,1,0,1,2,"[14, 45, 9, 1]",18,((14 + (45 / 9)) - 1)
17,4,71,30.346608816582236,1,1,0,1,3,1,1,0,0,2,70,12,50.75,0,1.9590413923210936,3,2,1,0,0,1,"[79, 8, 27, 47]",91,((79 - (8 + 27)) + 47)
18,3,42,22.501851775650227,0,1,0,2,1,2,1,0,3,0,7,28,53.66666666666667,2,1.9242792860618816,2,0,0,1,1,1,"[21, 14, 56]",84,((21 / 14) * 56)
19,3,78,39.82880029995045,0,1,0,2,1,2,1,2,1,0,90,25,18.666666666666664,0,1.863322860120456,2,1,1,0,0,1,"[45, 20, 98]",73,((20 - 45) + 98)
20,3,42,21.197484127446195,0,2,0,0,3,0,0,1,2,1,154,58,38.666666666666664,0,1.2787536009528289,2,1,1,0,0,1,"[35, 77, 61]",19,((35 - 77) + 61)
21,4,68,31.826351764955195,0,1,0,3,1,3,2,0,1,0,180,81,33.75,2,1.1760912590556813,3,1,1,0,1,2,"[96, 39, 28, 32]",15,((96 / (28 - 32)) + 39)
22,4,71,32.705758922041035,0,3,0,2,2,2,2,1,1,0,203,24,0.5,0,1.8260748027008264,3,1,1,0,1,2,"[87, 20, 72, 91]",67,((20 / (87 - 91)) + 72)
23,3,25,13.892443989449804,0,1,0,1,2,1,1,1,0,1,136,48,32.0,0,1.3010299956639813,2,1,1,0,0,1,"[43, 68, 45]",20,((43 - 68) + 45)
24,4,44,19.4164878389476,0,2,0,4,0,4,3,1,0,0,168,18,4.5,0,1.792391689498254,2,2,1,0,0,1,"[80, 66, 48, 36]",62,((80 + 66) - (48 + 36))
25,3,81,40.796241656963126,1,1,0,1,2,1,2,1,2,1,59,21,22.333333333333336,1,1.7993405494535817,2,1,0,0,1,1,"[3, 35, 84]",63,(35 + (84 / 3))
26,4,85,39.870624106811604,1,3,0,2,2,2,1,1,0,0,171,31,1.5,4,1.7403626894942439,3,1,1,1,0,1,"[1, 86, 85, 54]",55,(1 + ((86 - 85) * 54))
27,4,67,29.46608219631514,1,2,0,3,1,3,1,1,0,0,92,16,45.25,2,1.9590413923210936,3,2,1,0,0,1,"[8, 38, 62, 75]",91,((62 - (8 + 38)) + 75)
28,4,88,40.574006457336694,1,1,0,3,1,3,0,1,0,1,100,35,17.75,1,1.7558748556724915,2,2,1,0,0,1,"[4, 50, 92, 11]",57,((4 - 50) + (92 + 11))
29,3,58,29.280255007997,0,2,0,0,3,0,2,1,0,1,102,36,9.333333333333336,0,1.568201724066995,2,1,1,0,0,1,"[15, 51, 73]",37,((15 - 51) + 73)
30,4,40,16.879474715365603,0,3,0,1,3,1,2,2,0,0,179,9,25.75,1,1.9731278535996986,3,0,2,0,1,3,"[85, 45, 69, 74]",94,(85 - (45 / (69 - 74)))
31,4,65,33.089525029330154,0,2,0,1,3,1,1,1,1,1,170,15,19.75,1,1.919078092376074,2,2,1,0,0,1,"[98, 85, 33, 37]",83,((98 - 85) + (33 + 37))
32,4,74,30.735430152621365,1,1,0,2,2,2,1,1,1,1,68,4,37.0,1,1.8573324964312685,3,0,2,0,1,3,"[35, 2, 76, 27]",72,(76 - ((35 - 27) / 2))
33,3,49,26.501572280401277,0,1,0,1,2,1,0,1,3,0,56,7,37.333333333333336,0,1.9242792860618816,2,1,1,0,0,1,"[28, 35, 77]",84,((35 - 28) + 77)
34,4,53,22.18670773233379,1,1,1,1,3,1,0,1,0,3,46,5,35.75,1,1.7993405494535817,2,2,1,0,0,1,"[23, 58, 5, 23]",63,((23 + 58) + (5 - 23))
35,4,43,19.636275953788523,0,3,0,1,3,1,2,0,1,1,207,47,18.75,0,1.6434526764861874,3,0,2,0,1,3,"[51, 61, 91, 48]",44,(51 - (91 / (61 - 48)))
36,3,17,9.073771725877465,0,3,0,1,2,1,0,1,1,2,106,14,20.666666666666664,1,1.9242792860618816,2,1,1,0,0,1,"[70, 53, 67]",84,((70 - 53) + 67)
37,4,25,10.90489186863706,1,0,0,3,1,3,1,0,1,0,3,42,56.25,0,1.8808135922807914,3,0,2,1,0,2,"[14, 9, 34, 22]",76,((22 * (14 - 9)) - 34)
38,4,61,28.605069480775605,2,1,0,1,3,1,1,0,1,3,74,30,9.25,0,1.568201724066995,2,1,2,0,0,2,"[31, 7, 67, 6]",37,((7 - 31) + (67 - 6))
39,3,41,22.60530911091463,0,1,0,1,2,1,1,0,0,2,82,4,22.0,0,1.8692317197309762,2,1,1,0,0,1,"[78, 41, 37]",74,((78 - 41) + 37)
40,3,36,18.903262505010435,1,0,0,3,0,3,2,0,2,0,20,0,21.333333333333332,3,1.6232492903979006,2,0,1,1,0,1,"[6, 14, 42]",42,((6 * 14) - 42)
41,4,77,38.66954012311671,1,2,0,2,2,2,2,2,3,1,97,5,35.0,2,1.8976270912904414,2,0,2,0,1,3,"[70, 7, 15, 84]",79,((70 / 7) - (15 - 84))
42,3,24,13.316656236958787,2,0,0,3,0,3,0,0,0,1,12,18,33.333333333333336,3,1.6434526764861874,2,0,1,1,0,1,"[26, 4, 2]",44,((26 - 4) * 2)
43,4,18,8.06225774829855,0,1,0,4,0,4,0,1,1,0,100,22,33.5,1,1.8920946026904804,3,1,1,0,1,2,"[44, 56, 40, 38]",78,((44 / (40 - 38)) + 56)
44,4,36,16.583123951777,0,2,0,2,2,2,1,1,0,0,116,0,14.5,1,1.7634279935629373,2,2,1,0,0,1,"[39, 58, 22, 55]",58,((39 - 58) + (22 + 55))
45,3,78,43.66157731156002,2,1,0,1,2,1,2,0,0,1,57,46,4.333333333333332,1,1.5440680443502757,2,1,0,0,1,1,"[81, 8, 3]",35,((81 / 3) + 8)
46,4,83,36.22499137335991,0,2,0,1,3,1,0,0,2,2,182,44,5.75,0,1.7242758696007892,3,2,1,0,0,1,"[47, 14, 77, 97]",53,((47 - (14 + 77)) + 97)
47,3,33,18.009256878986797,2,0,0,2,1,2,0,0,0,1,10,2,22.666666666666668,1,1.591064607026499,2,1,0,0,1,1,"[4, 8, 37]",39,((8 / 4) + 37)
48,3,5,2.8867513459481287,0,3,1,2,1,2,0,0,0,1,188,5,3.3333333333333286,1,1.9493900066449128,2,1,1,0,0,1,"[94, 89, 94]",89,((94 + 89) - 94)
49,4,89,36.818247287633525,1,3,0,1,3,1,2,0,0,1,110,6,46.75,0,1.99563519459755,3,2,1,0,0,1,"[93, 4, 51, 61]",99,((93 - (4 + 51)) + 61)
50,4,81,33.70830758136635,1,1,0,1,3,1,0,1,0,2,81,9,36.75,0,1.8808135922807914,2,0,2,1,0,2,"[85, 31, 37, 4]",76,((31 * 4) - (85 - 37))
51,4,75,34.111337313763194,1,2,0,3,1,3,2,0,0,1,130,54,13.75,1,1.3979400086720377,2,0,1,0,2,3,"[79, 54, 4, 18]",25,((79 - 4) / (54 / 18))
52,3,29,16.19670748434179,1,0,0,2,1,2,2,1,0,1,0,33,43.33333333333333,1,1.8129133566428555,2,2,0,0,0,0,"[30, 3, 32]",65,((30 + 3) + 32)
53,3,80,41.05281151557507,0,2,0,3,0,3,0,1,2,0,79,5,39.666666666666664,1,1.99563519459755,2,1,0,0,1,1,"[94, 14, 70]",99,(94 + (70 / 14))
54,4,61,29.23895802977026,2,1,0,1,3,1,1,0,2,3,18,34,68.25,3,1.9867717342662448,3,1,1,1,0,1,"[7, 2, 43, 63]",97,((2 * (7 + 63)) - 43)
55,3,72,37.80652501002087,1,1,0,0,3,0,2,1,0,0,81,47,4.333333333333336,2,1.5314789170422551,2,1,0,0,1,1,"[81, 25, 9]",34,((81 / 9) + 25)
56,3,34,17.61628034896508,0,1,0,1,2,1,0,2,0,1,62,9,28.666666666666664,0,1.8692317197309762,2,1,1,0,0,1,"[65, 31, 40]",74,((65 - 31) + 40)
57,4,58,27.141603981096377,0,2,0,2,2,2,1,1,0,1,102,22,9.0,1,1.662757831681574,2,2,1,0,0,1,"[51, 68, 10, 19]",46,((68 - 51) + (10 + 19))
58,3,21,12.12435565298214,0,3,1,2,1,2,0,2,3,0,141,1,13.0,2,1.9542425094393248,2,0,1,0,1,2,"[70, 70, 91]",90,(91 - (70 / 70))
59,4,68,34.15650255319866,0,2,0,4,0,4,1,1,0,0,94,16,47.0,2,1.9731278535996986,3,0,2,1,0,2,"[78, 26, 74, 10]",94,((26 * (78 - 74)) - 10)
60,3,73,39.576929306520654,0,2,0,2,1,2,0,1,1,0,176,63,35.33333333333333,0,1.5440680443502757,2,1,1,0,0,1,"[98, 88, 25]",35,((98 - 88) + 25)
61,3,30,16.77299416721217,0,3,0,3,0,3,2,0,0,0,223,63,52.33333333333333,2,1.5185139398778875,2,0,1,0,1,2,"[96, 66, 94]",33,(66 / (96 - 94))
62,4,39,17.594980344783945,0,2,0,1,3,1,2,1,1,1,141,14,6.75,1,1.7481880270062005,3,1,1,0,1,2,"[39, 31, 57, 70]",56,((39 / (31 - 70)) + 57)
63,3,84,46.861498055439924,0,2,0,0,3,0,3,1,0,0,117,9,21.0,0,1.9542425094393248,2,0,1,1,0,1,"[93, 99, 15]",90,((99 - 93) * 15)
64,3,36,19.974984355438178,0,2,0,1,2,1,0,0,1,2,118,39,26.0,0,1.3010299956639813,2,1,1,0,0,1,"[56, 23, 59]",20,((56 + 23) - 59)
65,4,81,38.65229618017538,2,1,1,2,2,2,4,1,0,0,114,57,6.0,1,1.4771212547196624,3,2,1,0,0,1,"[6, 6, 87, 45]",30,(87 - (6 + (6 + 45)))
66,3,19,10.44030650891055,0,3,0,1,2,1,1,1,0,1,231,58,51.0,0,1.591064607026499,2,0,1,0,1,2,"[95, 97, 78]",39,(78 / (97 - 95))
67,3,42,21.197484127446195,1,0,0,3,0,3,1,0,0,1,36,16,6.666666666666668,3,1.4471580313422192,2,1,1,0,0,1,"[18, 2, 44]",28,((2 - 18) + 44)
68,4,79,33.059290171851345,1,1,0,1,3,1,1,1,2,1,139,64,18.25,2,1.3424226808222062,3,2,0,0,1,1,"[86, 7, 33, 35]",22,((86 + (33 + 35)) / 7)
69,3,30,17.320508075688775,2,0,1,0,3,0,3,0,0,2,12,6,14.0,3,1.4313637641589874,2,1,1,0,0,1,"[3, 33, 3]",27,(33 - (3 + 3))
70,3,92,46.177194948733444,1,1,0,1,2,1,2,1,1,1,90,45,3.3333333333333357,1,1.6989700043360187,2,1,1,0,0,1,"[3, 42, 95]",50,(95 - (3 + 42))
71,4,52,24.34988021873345,2,1,0,1,3,1,1,1,0,2,63,39,3.75,1,1.2041199826559248,2,0,2,1,0,2,"[17, 4, 55, 3]",16,((17 * 4) - (55 - 3))
72,4,33,16.673332000533065,0,2,1,2,2,2,3,0,0,0,156,16,3.0,1,1.7481880270062005,3,2,1,0,0,1,"[39, 62, 39, 72]",56,((62 - (39 + 39)) + 72)
73,4,58,26.812621406096543,0,2,0,1,3,1,1,1,0,2,163,37,15.25,0,1.5314789170422551,3,0,1,1,1,2,"[71, 13, 45, 68]",34,((13 / (71 - 45)) * 68)
74,3,75,41.428653530296316,1,1,0,2,1,2,2,1,0,1,6,7,54.66666666666667,1,1.9294189257142929,2,1,1,0,0,1,"[3, 10, 78]",85,((10 - 3) + 78)
75,3,38,19.42506971244462,0,0,0,3,0,3,2,1,0,0,72,36,14.666666666666668,1,1.146128035678238,2,1,1,0,0,1,"[50, 24, 12]",14,(50 - (24 + 12))
76,3,42,21.939310229205777,0,2,0,3,0,3,2,1,0,0,180,74,49.33333333333333,0,1.2041199826559248,2,1,1,0,0,1,"[90, 48, 58]",16,((48 - 90) + 58)
77,3,62,31.085902485424697,0,2,0,2,1,2,2,0,0,0,134,67,37.333333333333336,0,1.041392685158225,2,1,1,0,0,1,"[78, 16, 51]",11,(78 - (16 + 51))
78,4,72,33.48009358808106,0,1,0,1,3,1,1,2,0,1,97,1,46.25,1,1.9731278535996986,2,0,2,1,0,2,"[48, 25, 95, 23]",94,((48 - 95) * (23 - 25))
79,4,79,34.83771902215567,1,1,0,2,2,2,2,0,0,2,109,41,3.5,3,1.6127838567197355,2,1,1,1,0,1,"[3, 82, 18, 47]",41,((3 * 47) - (82 + 18))
80,3,39,19.5021366350801,0,1,0,1,2,1,2,1,1,1,42,20,39.333333333333336,0,1.9030899869919435,2,1,1,0,0,1,"[41, 60, 21]",80,((41 + 60) - 21)
81,4,67,30.62134331910778,0,1,0,2,2,2,2,2,0,0,96,28,16.5,0,1.7323937598229686,2,1,2,0,0,2,"[20, 15, 82, 33]",54,((20 - 15) + (82 - 33))
82,4,32,13.375973484822204,1,0,0,1,3,1,1,2,1,1,59,9,4.75,1,1.414973347970818,3,1,1,1,0,1,"[22, 25, 35, 3]",26,(35 + ((22 - 25) * 3))
83,3,64,33.005050118630834,1,1,0,0,3,0,2,0,0,1,33,3,39.666666666666664,2,1.8808135922807914,2,1,0,0,1,1,"[73, 27, 9]",76,(73 + (27 / 9))
84,4,43,18.699376103674332,0,1,0,2,2,2,1,0,2,1,97,31,5.5,0,1.3979400086720377,3,1,0,1,1,1,"[13, 32, 21, 56]",25,(13 + (32 * (21 / 56)))
85,4,47,24.44722206441187,1,0,0,2,2,2,1,2,0,2,48,12,34.5,3,1.792391689498254,3,1,0,1,1,1,"[10, 47, 3, 50]",62,(47 + ((3 / 10) * 50))
86,3,24,13.316656236958787,2,0,0,0,3,0,1,1,0,1,2,2,17.333333333333336,2,1.4313637641589874,2,1,1,0,0,1,"[25, 1, 3]",27,((25 - 1) + 3)
87,3,64,34.42867022313428,0,1,0,3,0,3,1,0,0,0,48,10,49.333333333333336,0,1.9912260756924949,2,1,1,0,0,1,"[88, 24, 34]",98,((88 - 24) + 34)
89,4,12,5.196152422706632,0,0,1,2,2,2,4,1,0,0,3,69,73.5,1,1.99563519459755,3,1,1,1,0,1,"[27, 30, 18, 27]",99,((27 * (30 - 27)) + 18)
90,4,92,40.721615881494685,1,1,0,3,1,3,3,1,2,0,73,16,43.25,1,1.9138138523837167,2,0,2,0,1,3,"[21, 30, 6, 98]",82,((30 / 6) - (21 - 98))
91,4,61,27.670682439482164,1,2,0,2,2,2,1,3,1,0,148,24,2.5,1,1.662757831681574,2,1,2,0,0,2,"[65, 50, 70, 9]",46,((50 - 65) + (70 - 9))
92,3,83,43.485629810317796,1,2,0,2,1,2,1,1,0,1,106,38,4.0,1,1.6720978579357175,2,0,1,1,0,1,"[66, 2, 85]",47,((66 * 2) - 85)
93,3,72,39.949968710876355,0,1,0,0,3,0,0,1,0,2,112,56,10.0,0,1.6127838567197355,2,1,1,0,0,1,"[97, 31, 25]",41,(97 - (31 + 25))
94,3,29,15.716233645501712,0,0,0,2,1,2,1,0,0,1,0,28,46.0,0,1.8388490907372552,2,2,0,0,0,0,"[41, 12, 16]",69,((41 + 12) + 16)
95,3,69,34.645827069552446,1,1,0,2,1,2,2,0,0,0,94,47,10.666666666666664,0,1.4913616938342726,2,1,1,0,0,1,"[78, 38, 9]",31,(78 - (38 + 9))
96,4,88,40.75434537158788,0,2,0,1,3,1,1,0,0,2,119,3,42.25,3,1.9822712330395684,2,1,1,0,1,2,"[11, 76, 29, 99]",96,((76 + 29) - (99 / 11))
97,4,40,16.33758448078132,0,1,0,3,1,3,1,0,0,1,77,16,36.25,0,1.8692317197309762,2,1,0,0,2,2,"[18, 58, 38, 37]",74,((18 + 58) / (38 / 37))
99,3,24,12.220201853215572,0,1,0,0,3,0,1,1,0,2,90,8,5.333333333333336,0,1.7242758696007892,2,1,1,0,0,1,"[45, 61, 37]",53,((61 - 45) + 37)
100,3,89,47.247574893674,1,1,0,2,1,2,1,1,0,1,46,23,30.666666666666664,0,1.8388490907372552,2,1,1,0,0,1,"[20, 92, 3]",69,(92 - (20 + 3))
101,4,92,44.24552708090013,2,2,0,2,2,2,2,1,0,1,83,16,38.5,1,1.8976270912904414,3,0,2,1,0,2,"[95, 58, 3, 6]",79,((58 * (6 - 3)) - 95)
102,3,43,22.338307903688676,0,1,0,1,2,1,1,0,0,1,32,11,36.0,0,1.845098040014257,2,1,1,0,0,1,"[27, 59, 16]",70,((27 + 59) - 16)
103,4,59,25.90205912020638,0,3,0,1,3,1,1,1,0,2,150,7,33.75,0,1.9777236052888478,3,2,1,0,0,1,"[88, 29, 75, 53]",95,((88 + (29 - 75)) + 53)
104,4,32,17.63282923034947,1,0,0,1,3,1,1,1,0,2,80,20,4.25,2,1.3222192947339193,2,2,1,0,0,1,"[11, 9, 41, 40]",21,((11 + 9) + (41 - 40))
105,3,71,39.1279950930277,2,1,0,2,1,2,1,0,0,0,17,8,37.0,4,1.806179973983887,2,0,1,1,0,1,"[8, 72, 1]",64,((72 - 8) * 1)
106,3,65,32.53203549323856,0,1,0,2,1,2,0,0,0,1,114,57,25.333333333333336,0,1.2787536009528289,2,1,1,0,0,1,"[76, 46, 11]",19,(76 - (46 + 11))
107,4,49,20.467453839368165,0,1,0,3,1,3,1,1,1,1,77,0,25.75,0,1.7781512503836436,3,0,2,1,0,2,"[28, 38, 11, 60]",60,((28 - (38 - 11)) * 60)
108,3,26,13.613718571108091,0,1,0,0,3,0,1,1,0,1,50,6,21.333333333333336,0,1.7558748556724915,2,1,1,0,0,1,"[31, 25, 51]",57,((31 - 25) + 51)
109,3,29,14.843629385474877,0,0,0,1,2,1,0,1,1,1,40,9,25.333333333333336,0,1.7634279935629373,2,1,1,0,0,1,"[20, 49, 29]",58,((49 - 20) + 29)
110,3,58,29.206163733020468,0,2,0,2,1,2,1,0,0,1,118,35,8.0,0,1.6720978579357175,2,1,1,0,0,1,"[59, 24, 82]",47,((24 - 59) + 82)
111,4,60,29.359836511806396,0,2,0,2,2,2,0,0,1,2,159,1,33.0,1,1.9867717342662448,3,1,1,0,1,2,"[38, 79, 98, 41]",97,((38 / (41 - 79)) + 98)
112,4,30,14.080127840328723,0,1,0,1,3,1,3,0,1,0,102,10,5.25,0,1.6127838567197355,2,2,1,0,0,1,"[44, 21, 27, 51]",41,((44 + 21) + (27 - 51))
113,3,13,6.557438524302,1,0,0,2,1,2,1,2,0,1,23,35,41.0,1,1.6989700043360187,2,1,0,1,0,0,"[10, 2, 15]",50,((10 + 15) * 2)
114,3,34,18.823743871327334,0,3,0,1,2,1,1,1,0,0,199,66,44.33333333333333,0,1.5185139398778875,2,0,1,0,1,2,"[68, 65, 99]",33,(99 / (68 - 65))
115,3,46,24.576411454889016,0,2,0,3,0,3,1,1,0,0,192,54,36.0,0,1.6232492903979006,2,1,1,0,0,1,"[88, 96, 50]",42,((88 - 96) + 50)
116,3,90,51.67526810122356,1,2,0,2,1,2,2,1,0,0,118,17,13.333333333333329,1,1.8976270912904414,2,0,1,0,1,2,"[6, 95, 96]",79,(95 - (96 / 6))
117,4,45,21.02379604162864,0,1,0,2,2,2,1,1,1,1,34,36,65.0,1,1.9912260756924949,2,2,1,0,0,1,"[17, 35, 18, 62]",98,((35 - 17) + (18 + 62))
118,4,29,12.409673645990857,1,0,0,2,2,2,1,0,1,2,12,52,66.0,0,1.9242792860618816,3,1,1,1,0,1,"[14, 32, 3, 23]",84,(14 * (32 - (3 + 23)))
119,4,70,28.855964143772194,0,2,0,2,2,2,2,0,3,0,138,13,24.0,0,1.8920946026904804,2,1,2,0,0,2,"[48, 56, 91, 21]",78,((56 - 48) + (91 - 21))
120,3,62,32.51666239535253,1,1,0,3,0,3,2,0,0,0,0,22,58.66666666666667,1,1.9444826721501687,2,2,0,0,0,0,"[66, 4, 18]",88,((66 + 4) + 18)
121,4,40,17.146428199482248,0,4,0,2,2,2,3,1,1,0,222,45,21.0,0,1.662757831681574,2,1,2,0,0,2,"[60, 66, 91, 51]",46,((66 - 60) + (91 - 51))
122,3,43,24.542480178933285,0,1,0,1,2,1,2,0,0,0,77,0,28.333333333333336,1,1.9084850188786497,2,0,1,1,0,1,"[38, 81, 39]",81,(81 * (39 - 38))
123,3,81,43.500957843860554,1,1,0,2,1,2,2,1,0,0,109,78,28.333333333333336,1,1.0791812460476249,2,0,1,0,1,2,"[22, 9, 90]",12,(22 - (90 / 9))
124,4,76,31.203632267200348,1,1,0,2,2,2,1,0,2,0,86,3,38.5,3,1.9030899869919435,3,2,1,0,0,1,"[1, 46, 42, 77]",80,((46 - (1 + 42)) + 77)
125,3,53,30.315012782448235,0,2,0,2,1,2,1,0,1,1,134,54,36.0,1,1.1139433523068367,2,1,1,0,0,1,"[67, 66, 14]",13,((66 - 67) + 14)
126,4,30,13.937359864766353,0,3,0,3,1,3,1,1,1,0,109,28,37.25,0,1.9344984512435677,2,1,1,1,0,1,"[55, 54, 58, 28]",86,((55 - 54) * (58 + 28))
127,3,63,33.85754470326124,1,1,0,2,1,2,1,1,0,1,4,10,48.66666666666667,1,1.8750612633917,2,1,1,0,0,1,"[65, 2, 12]",75,((65 - 2) + 12)
128,4,57,28.394541729001368,0,2,0,3,1,3,3,0,2,0,135,14,18.75,2,1.845098040014257,2,1,0,0,2,2,"[66, 27, 28, 84]",70,((27 + 28) / (66 / 84))
129,4,40,16.603212540549695,0,3,0,4,0,4,1,3,1,0,180,4,25.5,3,1.9731278535996986,2,2,1,0,0,1,"[64, 70, 50, 90]",94,((64 + 70) + (50 - 90))
130,3,87,49.115510109672414,2,1,0,2,1,2,1,0,0,2,11,3,53.666666666666664,1,1.9344984512435677,2,0,1,0,1,2,"[89, 2, 6]",86,(89 - (6 / 2))
132,4,89,40.885001324854244,1,1,0,1,3,1,2,1,0,1,52,2,56.75,1,1.968482948553935,3,0,1,1,1,2,"[33, 95, 11, 6]",93,(95 - ((11 / 33) * 6))
133,3,86,43.98105652816145,0,1,0,1,2,1,1,1,0,1,80,27,21.333333333333336,0,1.8573324964312685,2,1,1,0,0,1,"[99, 13, 40]",72,((99 + 13) - 40)
134,4,61,29.859392715414245,3,1,0,1,3,1,0,2,1,2,56,40,4.75,2,1.3979400086720377,3,1,0,1,1,1,"[7, 5, 65, 4]",25,((65 + (7 * 5)) / 4)
135,4,19,8.220908303425682,2,0,0,3,1,3,0,1,0,1,25,47,58.75,1,1.845098040014257,3,1,1,1,0,1,"[10, 23, 4, 8]",70,(10 + ((23 - 8) * 4))
136,3,60,30.04995840263344,1,1,0,2,1,2,3,0,0,0,78,33,4.0,1,1.5185139398778875,2,1,1,0,0,1,"[6, 39, 66]",33,((6 - 39) + 66)
137,3,62,31.085902485424697,1,1,0,2,1,2,1,0,0,1,70,35,2.6666666666666643,1,1.4913616938342726,2,1,1,0,0,1,"[66, 4, 31]",31,(66 - (4 + 31))
138,4,25,11.615363389350618,0,2,0,3,1,3,1,0,0,1,185,45,35.75,0,1.146128035678238,2,0,2,1,0,2,"[59, 34, 48, 58]",14,((59 - 58) * (48 - 34))
139,4,76,32.66369034060094,0,1,0,1,3,1,1,1,1,1,178,66,19.75,0,1.5185139398778875,3,2,1,0,0,1,"[99, 49, 40, 23]",33,((99 - (49 + 40)) + 23)
140,4,60,28.442925306655784,0,3,1,4,0,4,3,3,0,0,188,4,17.5,6,1.9344984512435677,3,2,1,0,0,1,"[90, 30, 64, 90]",86,((90 - (30 + 64)) + 90)
141,3,30,16.072751268321593,1,0,0,1,2,1,2,0,0,0,37,6,17.666666666666668,0,1.6532125137753437,2,0,1,1,0,1,"[34, 39, 9]",45,((39 - 34) * 9)
142,4,64,29.490111336966272,0,3,0,2,2,2,2,1,0,1,225,43,22.5,0,1.6532125137753437,3,0,2,1,0,2,"[24, 75, 88, 83]",45,((24 * (88 - 83)) - 75)
143,3,20,10.066445913694333,1,0,0,3,0,3,0,0,1,0,0,24,34.66666666666667,1,1.7160033436347992,2,2,0,0,0,0,"[28, 8, 16]",52,((28 + 8) + 16)
144,4,61,25.51306854666186,1,1,0,1,3,1,1,1,1,2,69,8,24.75,0,1.7481880270062005,3,2,0,0,1,1,"[3, 23, 35, 64]",56,(23 + ((35 + 64) / 3))
146,3,56,30.512292604784715,1,2,0,2,1,2,1,0,0,1,67,14,7.0,2,1.6434526764861874,2,0,1,1,0,1,"[2, 51, 58]",44,((2 * 51) - 58)
147,4,21,10.5,0,2,1,3,1,3,0,2,0,1,142,22,34.25,2,1.968482948553935,2,2,1,0,0,1,"[50, 71, 50, 64]",93,((50 - 71) + (50 + 64))
